repo_id,name,full_name,owner_login,stars,forks,language,created_at,updated_at,url
712111618,marker,datalab-to/marker,datalab-to,33809,2337,Python,2023-10-30 20:14:08,2026-04-14 10:36:00,https://github.com/datalab-to/marker
595893961,ControlNet,lllyasviel/ControlNet,lllyasviel,33802,3008,Python,2023-02-01 02:43:30,2026-04-14 09:14:16,https://github.com/lllyasviel/ControlNet
679237742,gpt-pilot,Pythagora-io/gpt-pilot,Pythagora-io,33772,3501,Python,2023-08-16 11:56:07,2026-04-14 08:29:52,https://github.com/Pythagora-io/gpt-pilot
587050620,dspy,stanfordnlp/dspy,stanfordnlp,33679,2791,Python,2023-01-09 21:01:51,2026-04-14 10:54:29,https://github.com/stanfordnlp/dspy
4086616,shadowsocks,shadowsocks/shadowsocks,shadowsocks,33613,18197,Python,2012-04-20 13:10:49,2026-04-14 08:43:02,https://github.com/shadowsocks/shadowsocks
1025856648,agents,wshobson/agents,wshobson,33590,3646,Python,2025-07-24 23:28:14,2026-04-14 10:54:48,https://github.com/wshobson/agents
21467110,spaCy,explosion/spaCy,explosion,33464,4671,Python,2014-07-03 15:15:40,2026-04-14 10:12:33,https://github.com/explosion/spaCy
29290473,XX-Net,XX-net/XX-Net,XX-net,33433,7575,Python,2015-01-15 09:35:51,2026-04-14 09:14:57,https://github.com/XX-net/XX-Net
498011141,diffusers,huggingface/diffusers,huggingface,33322,6925,Python,2022-05-30 16:04:02,2026-04-14 10:17:51,https://github.com/huggingface/diffusers
15333471,OCRmyPDF,ocrmypdf/OCRmyPDF,ocrmypdf,33239,2298,Python,2013-12-20 08:26:28,2026-04-14 07:50:49,https://github.com/ocrmypdf/OCRmyPDF
866513204,LightRAG,HKUDS/LightRAG,HKUDS,33172,4716,Python,2024-10-02 11:57:54,2026-04-14 10:59:36,https://github.com/HKUDS/LightRAG
853189791,PDFMathTranslate,PDFMathTranslate/PDFMathTranslate,PDFMathTranslate,33065,2982,Python,2024-09-06 06:56:03,2026-04-14 10:41:16,https://github.com/PDFMathTranslate/PDFMathTranslate
26516210,certbot,certbot/certbot,certbot,32988,3496,Python,2014-11-12 02:52:20,2026-04-14 08:16:07,https://github.com/certbot/certbot
1864233,erpnext,frappe/erpnext,frappe,32911,10924,Python,2011-06-08 08:20:56,2026-04-14 10:43:55,https://github.com/frappe/erpnext
1134426800,antigravity-awesome-skills,sickn33/antigravity-awesome-skills,sickn33,32894,5477,Python,2026-01-14 17:48:09,2026-04-14 10:56:35,https://github.com/sickn33/antigravity-awesome-skills
683892956,ChatDev,OpenBMB/ChatDev,OpenBMB,32701,4060,Python,2023-08-28 02:18:13,2026-04-14 10:36:14,https://github.com/OpenBMB/ChatDev
145670234,mmdetection,open-mmlab/mmdetection,open-mmlab,32597,9842,Python,2018-08-22 07:06:06,2026-04-14 10:20:20,https://github.com/open-mmlab/mmdetection
235901813,posthog,PostHog/posthog,PostHog,32577,2521,Python,2020-01-23 22:46:58,2026-04-14 10:58:14,https://github.com/PostHog/posthog
28751632,linux-insides,0xAX/linux-insides,0xAX,32477,3522,Python,2015-01-03 18:44:57,2026-04-14 09:48:34,https://github.com/0xAX/linux-insides
305144746,tinygrad,tinygrad/tinygrad,tinygrad,32398,4054,Python,2020-10-18 16:23:12,2026-04-14 08:47:30,https://github.com/tinygrad/tinygrad
71056775,kitty,kovidgoyal/kitty,kovidgoyal,32375,1346,Python,2016-10-16 14:48:28,2026-04-14 10:56:39,https://github.com/kovidgoyal/kitty
84533158,pytorch-tutorial,yunjey/pytorch-tutorial,yunjey,32267,8255,Python,2017-03-10 07:41:47,2026-04-13 12:51:21,https://github.com/yunjey/pytorch-tutorial
2909429,glances,nicolargo/glances,nicolargo,32247,1718,Python,2011-12-04 08:49:15,2026-04-14 08:20:03,https://github.com/nicolargo/glances
778431525,graphrag,microsoft/graphrag,microsoft,32218,3390,Python,2024-03-27 17:57:52,2026-04-14 10:56:20,https://github.com/microsoft/graphrag
101782647,fairseq,facebookresearch/fairseq,facebookresearch,32199,6676,Python,2017-08-29 16:26:12,2026-04-14 08:48:43,https://github.com/facebookresearch/fairseq
908607,numpy,numpy/numpy,numpy,31849,12304,Python,2010-09-13 23:02:39,2026-04-14 08:55:56,https://github.com/numpy/numpy
162723104,CheatSheetSeries,OWASP/CheatSheetSeries,OWASP,31766,4431,Python,2018-12-21 14:26:43,2026-04-14 10:07:44,https://github.com/OWASP/CheatSheetSeries
34757182,interactive-coding-challenges,donnemartin/interactive-coding-challenges,donnemartin,31333,4639,Python,2015-04-28 21:36:39,2026-04-14 10:57:37,https://github.com/donnemartin/interactive-coding-challenges
80990461,ML-From-Scratch,eriklindernoren/ML-From-Scratch,eriklindernoren,31284,5252,Python,2017-02-05 12:11:23,2026-04-14 08:14:05,https://github.com/eriklindernoren/ML-From-Scratch
333483116,changedetection.io,dgtlmoon/changedetection.io,dgtlmoon,31137,1758,Python,2021-01-27 16:03:30,2026-04-14 10:22:09,https://github.com/dgtlmoon/changedetection.io
36804486,tqdm,tqdm/tqdm,tqdm,31111,1440,Python,2015-06-03 13:13:14,2026-04-14 09:53:16,https://github.com/tqdm/tqdm
178626720,pytorch-lightning,Lightning-AI/pytorch-lightning,Lightning-AI,31045,3706,Python,2019-03-31 00:45:57,2026-04-14 08:39:19,https://github.com/Lightning-AI/pytorch-lightning
321659062,DeepFaceLive,iperov/DeepFaceLive,iperov,30736,1204,Python,2020-12-15 12:19:22,2026-04-14 10:07:13,https://github.com/iperov/DeepFaceLive
1176011916,CLI-Anything,HKUDS/CLI-Anything,HKUDS,30610,2936,Python,2026-03-08 13:52:57,2026-04-14 10:47:48,https://github.com/HKUDS/CLI-Anything
646480766,roop,s0md3v/roop,s0md3v,30495,6896,Python,2023-05-28 14:37:54,2026-04-14 08:55:07,https://github.com/s0md3v/roop
307213173,openai-python,openai/openai-python,openai,30491,4704,Python,2020-10-25 23:23:54,2026-04-14 10:58:05,https://github.com/openai/openai-python
21484781,jumpserver,jumpserver/jumpserver,jumpserver,30292,5695,Python,2014-07-04 03:54:59,2026-04-14 08:57:11,https://github.com/jumpserver/jumpserver
612427246,stanford_alpaca,tatsu-lab/stanford_alpaca,tatsu-lab,30258,4001,Python,2023-03-10 23:33:09,2026-04-14 10:11:18,https://github.com/tatsu-lab/stanford_alpaca
58842707,algo,trailofbits/algo,trailofbits,30237,2362,Python,2016-05-15 03:42:48,2026-04-14 10:42:52,https://github.com/trailofbits/algo
4008931,hosts,StevenBlack/hosts,StevenBlack,30200,2399,Python,2012-04-12 20:22:50,2026-04-14 05:48:56,https://github.com/StevenBlack/hosts
1431547,django-rest-framework,encode/django-rest-framework,encode,29966,7066,Python,2011-03-02 17:13:56,2026-04-14 09:12:52,https://github.com/encode/django-rest-framework
575865240,AstrBot,AstrBotDevs/AstrBot,AstrBotDevs,29926,2022,Python,2022-12-08 13:27:46,2026-04-14 10:55:10,https://github.com/AstrBotDevs/AstrBot
1131513930,daily_stock_analysis,ZhuLinsen/daily_stock_analysis,ZhuLinsen,29808,30530,Python,2026-01-10 06:43:20,2026-04-14 10:49:01,https://github.com/ZhuLinsen/daily_stock_analysis
837911756,Jobs_Applier_AI_Agent_AIHawk,feder-cr/Jobs_Applier_AI_Agent_AIHawk,feder-cr,29661,4520,Python,2024-08-04 12:15:06,2026-04-14 08:23:19,https://github.com/feder-cr/Jobs_Applier_AI_Agent_AIHawk
1000362065,awesome-copilot,github/awesome-copilot,github,29623,3501,Python,2025-06-11 16:57:39,2026-04-14 10:53:35,https://github.com/github/awesome-copilot
702796244,fish-speech,fishaudio/fish-speech,fishaudio,29550,2487,Python,2023-10-10 03:16:51,2026-04-14 10:58:40,https://github.com/fishaudio/fish-speech
756289095,MoneyPrinterV2,FujiwaraChoki/MoneyPrinterV2,FujiwaraChoki,29490,3172,Python,2024-02-12 11:20:42,2026-04-14 10:58:06,https://github.com/FujiwaraChoki/MoneyPrinterV2
48623558,wttr.in,chubin/wttr.in,chubin,29329,1223,Python,2015-12-26 21:03:43,2026-04-14 08:21:52,https://github.com/chubin/wttr.in
247266215,EasyOCR,JaidedAI/EasyOCR,JaidedAI,29295,3553,Python,2020-03-14 11:46:39,2026-04-14 10:37:42,https://github.com/JaidedAI/EasyOCR
772699441,llama3,meta-llama/llama3,meta-llama,29293,3529,Python,2024-03-15 17:57:00,2026-04-14 09:44:09,https://github.com/meta-llama/llama3
676672661,langgraph,langchain-ai/langgraph,langchain-ai,29218,5015,Python,2023-08-09 18:33:12,2026-04-14 10:31:37,https://github.com/langchain-ai/langgraph
54376220,PythonRobotics,AtsushiSakai/PythonRobotics,AtsushiSakai,29158,7246,Python,2016-03-21 09:34:43,2026-04-14 09:55:09,https://github.com/AtsushiSakai/PythonRobotics
38696925,python-telegram-bot,python-telegram-bot/python-telegram-bot,python-telegram-bot,29024,6019,Python,2015-07-07 15:30:39,2026-04-14 09:52:05,https://github.com/python-telegram-bot/python-telegram-bot
29749635,data-science-ipython-notebooks,donnemartin/data-science-ipython-notebooks,donnemartin,28996,8029,Python,2015-01-23 19:38:29,2026-04-14 10:59:06,https://github.com/donnemartin/data-science-ipython-notebooks
369178935,mihomo,MetaCubeX/mihomo,MetaCubeX,28970,3882,Python,2021-05-20 11:06:33,2026-04-14 10:45:38,https://github.com/MetaCubeX/mihomo
760231710,Open-Sora,hpcaitech/Open-Sora,hpcaitech,28872,2928,Python,2024-02-20 03:01:34,2026-04-14 10:58:25,https://github.com/hpcaitech/Open-Sora
196760810,linkedin-skill-assessments-quizzes,Ebazhanov/linkedin-skill-assessments-quizzes,Ebazhanov,28714,13028,Python,2019-07-13 19:52:56,2026-04-14 10:13:54,https://github.com/Ebazhanov/linkedin-skill-assessments-quizzes
152166877,d2l-en,d2l-ai/d2l-en,d2l-ai,28616,5021,Python,2018-10-09 01:04:37,2026-04-14 10:29:19,https://github.com/d2l-ai/d2l-en
712225112,Genesis,Genesis-Embodied-AI/Genesis,Genesis-Embodied-AI,28497,2670,Python,2023-10-31 03:33:11,2026-04-14 10:24:50,https://github.com/Genesis-Embodied-AI/Genesis
263556058,GitHub520,521xueweihan/GitHub520,521xueweihan,28446,2681,Python,2020-05-13 07:25:21,2026-04-14 10:34:15,https://github.com/521xueweihan/GitHub520
102057483,insightface,deepinsight/insightface,deepinsight,28408,5982,Python,2017-09-01 00:36:51,2026-04-14 09:54:01,https://github.com/deepinsight/insightface
184460,celery,celery/celery,celery,28356,5007,Python,2009-04-24 11:31:24,2026-04-14 08:39:45,https://github.com/celery/celery
13926404,redash,getredash/redash,getredash,28341,4569,Python,2013-10-28 13:19:39,2026-04-14 09:55:47,https://github.com/getredash/redash
357241735,searxng,searxng/searxng,searxng,28338,2750,Python,2021-04-12 15:18:15,2026-04-14 10:32:14,https://github.com/searxng/searxng
557075997,reflex,reflex-dev/reflex,reflex-dev,28290,1706,Python,2022-10-25 03:08:48,2026-04-14 10:59:23,https://github.com/reflex-dev/reflex
211124697,spleeter,deezer/spleeter,deezer,28168,3066,Python,2019-09-26 15:40:46,2026-04-14 08:49:09,https://github.com/deezer/spleeter
82729529,python-fire,google/python-fire,google,28163,1477,Python,2017-02-21 21:35:07,2026-04-14 10:59:40,https://github.com/google/python-fire
776854298,storm,stanford-oval/storm,stanford-oval,28079,2557,Python,2024-03-24 16:23:39,2026-04-14 08:31:11,https://github.com/stanford-oval/storm
612139233,so-vits-svc,svc-develop-team/so-vits-svc,svc-develop-team,28039,5074,Python,2023-03-10 09:31:09,2026-04-14 06:17:44,https://github.com/svc-develop-team/so-vits-svc
573819845,ChatGPT,acheong08/ChatGPT,acheong08,27947,4393,Python,2022-12-03 14:35:24,2026-04-14 07:46:15,https://github.com/acheong08/ChatGPT
1377867,locust,locustio/locust,locustio,27704,3199,Python,2011-02-17 11:08:03,2026-04-14 06:29:35,https://github.com/locustio/locust
